"ANNOUNCEMENT_NUMBER","COMPANY_ID","CREATED_ON","BALANCE_DATE","AMOUNT","SHAREHOLDER_FUNDS","INTANGIBLES","EFPO_ISSUED_SHARES","CURRENCY_ID","LAST_EOY_DATE","COY_COMPANY_NO","COA_LAST_MODIFIED","COA_RELEASE_DATETIME","COA_ANN_TYPE","INS_ISIN","INS_ISIN_SUFFIX","INS_INSTR_CODE"
226306,"TEN000000",22/08/2012,30/06/2012,-9000000,122000000,67000000,65690681,"USD",30/06/2011,"TEN000000",22/08/2012,22/08/2012,"FLLYR","NZFLCE0020S7","  ","TEN"
226383,"SAM000000",23/08/2012,30/06/2012,-1830339,608638,0,57302229,"NZD",30/06/2011,"SAM000000",24/08/2012,24/08/2012,"FLLYR","NZSAME0001S2","  ","GSH"
166094,"PLU000000",16/06/2008,31/03/2008,-3322004,4457262,5579266,12845778,"NZD",31/03/2008,"PLU000000",16/06/2008,16/06/2008,"FLLYR","NZPLUE0001S8","  ","PLE"
226395,"TEL000000",23/08/2012,30/06/2012,1155000000,1621000000,900000000,1856745213,"NZD",30/06/2011,"TEL000000",24/08/2012,24/08/2012,"FLLYR","NZTELE0001S4","  ","SPK"
226409,"NTH000000",23/08/2012,30/06/2012,5000978,125710390,0,41300651,"NZD",30/06/2011,"NTH000000",24/08/2012,24/08/2012,"FLLYR","NZNTHE0001S3","  ","MMH"
226418,"IMP000000",23/08/2012,30/06/2012,8977000,287430000,0,293345275,"NZD",30/06/2011,"IMP000000",24/08/2012,24/08/2012,"FLLYR","NZCHPE0001S4","  ","VHP"
226422,"SKT000000",23/08/2012,30/06/2012,123670000,1241682000,1448805000,389139785,"NZD",30/06/2011,"SKT000000",24/08/2012,24/08/2012,"FLLYR","NZSKTE0001S6","  ","SKT"
226443,"NWC000000",24/08/2012,30/06/2012,-5330000,9491000,21000,8677199,"NZD",30/06/2011,"NWC000000",24/08/2012,24/08/2012,"FLLYR","NZGRME0001S1","  ","FWL"
226448,"RBC000000",24/08/2012,30/06/2012,-8000000,141000000,85000000,284788155,"NZD",30/06/2011,"RBC000000",24/08/2012,24/08/2012,"FLLYR","NZRBCE0001S3","  ","ARB"
226452,"CNU000000",26/08/2012,30/06/2012,102000000,527000000,180000000,385082123,"NZD",30/06/2011,"CNU000000",27/08/2012,27/08/2012,"FLLYR","NZCNUE0001S2","  ","CNU"
226477,"THL000000",26/08/2012,30/06/2012,4317000,156025000,23665000,98180723,"NZD",30/06/2011,"THL000000",27/08/2012,27/08/2012,"FLLYR","NZHELE0001S9","  ","THL"
